class_name	dataset	base_description	context_aware_description	ontology_aware_description
airplane	ESC50	A loud, continuous, metallic sound produced by the wings of an airplane as it flies overhead.	A powered, fixed-wing aircraft designed for transportation. Produces a distinctive roaring sound during takeoff and landing, and a steady hum while in flight.	The continuous, humming sound produced by the engines of an airplane, often accompanied by the occasional roar of the engines or the sound of landing gear touching down, classified under transportation-related sounds.
breathing	ESC50	The rhythmic, inhaling and exhaling sounds produced by the lungs as a person breathes.	The rhythmic inhalation and exhalation of air through the nose or mouth, typically heard during sleep, meditation, or physical activity.	The rhythmic, inhaling and exhaling sounds produced by the human respiratory system, characterized by the movement of air in and out of the lungs, categorized as human biological sounds.
brushing_teeth	ESC50	The sound of teeth being brushed against a surface, characterized by a rhythmic, repetitive pattern of short, sharp noises.	The sound of bristles scraping against teeth and gums during toothbrushing, accompanied by the occasional popping or crackling noise. Typically heard in bathrooms or kitchens, during morning or evening routines.	The sound of bristles against teeth and gums while brushing, characterized by a distinct scraping or grinding noise, often accompanied by water or toothpaste, classified as household sounds or activities.
can_opening	ESC50	The sound of a can being opened, characterized by a sharp, metallic clangor and a hiss of air escaping.	The metallic clanging sound produced when a can is opened, often accompanied by a sharp cracking noise. Typically heard in kitchens or food preparation areas.	The metallic sound produced by opening a can, characterized by a sharp, high-pitched tone and a short duration, belonging to the category of man-made sounds.
car_horn	ESC50	A loud, high-pitched sound produced by a car horn, often used to signal danger or warning.	A loud, high-pitched sound emitted by a car's horn, used for warning or signaling, typically heard in urban environments or during traffic congestion.	A loud, high-pitched sound produced by a car horn, often used to signal danger or attract attention.
cat	ESC50	The soft, meowing vocalizations produced by cats, often characterized by their distinct pitch and rhythm.	A small domesticated mammal with soft fur, a short snout, and retractable claws. Often heard meowing, purring, or hissing. Typically found indoors or outdoors in residential areas.	The soft, melodious vocalizations produced by cats, often characterized by their distinct purring sound, falling under animal vocalizations or emotional expressions.
chainsaw	ESC50	A loud, rhythmic sound produced by the rapid rotation of a chainsaw blade, characterized by its high-pitched, whirring quality.	A loud, vibrating sound produced by a chainsaw, characterized by its distinctive whirring and buzzing, often heard in construction sites, forests, or outdoor activities.	The loud, buzzing sound produced by a chainsaw, characterized by its high-frequency, rapid oscillations and distinctive rhythm.
chirping_birds	ESC50	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms.	A melodic, trilling vocalization produced by birds, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk, and characterized by unique patterns, pitches, and rhythms.	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of natural environmental sounds.
church_bells	ESC50	The sound of church bells ringing, characterized by their deep, resonant tones and a steady rhythm.	The sonorous pealing of church bells, typically heard on Sundays or religious holidays, marking the beginning of services or as a symbol of faith. Often heard in urban or suburban environments with a church or cathedral nearby.	The ringing sound produced by church bells, typically characterized by its frequency and duration, belonging to the category of religious or cultural sounds.
clapping	ESC50	The sharp, percussive sound produced by the rapid movement of hands together, often accompanied by a rhythmic pattern.	The sharp, rhythmic sound produced by clapping hands together, often heard in applause or celebration.	The sharp, rhythmic sounds produced by clapping hands, often used for applause or celebration.
clock_alarm	ESC50	A loud, piercing sound produced by a clock alarm, characterized by its sudden onset and high pitch.	A loud, piercing sound emitted by a clock or alarm, typically heard in homes or offices, signaling the start of a new day or scheduled event.	The loud, repetitive sound produced by a clock, typically signaling the passage of time, classified under man-made sounds.
clock_tick	ESC50	The short, sharp sound produced by a clock, often accompanied by a soft ticking noise.	The distinct, rhythmic sound produced by a clock's mechanism, marking the passage of time. Typically heard in indoor settings, such as homes, offices, or public spaces, where clocks are present.	A short, sharp sound produced by a clock, often characterized by its regular rhythm and pitch, belonging to the category of man-made sounds.
