label	definition	caption
cat	A small domesticated mammal with soft fur, a short snout, and retractable claws. Often heard meowing, purring, or hissing. Typically found indoors or outdoors in residential areas.	
Camera	An electronic device used to capture images or videos. Often heard clicking or whirring when in use. Typically found in photography studios, newsrooms, or personal settings.	
bus/engine_idling	The low rumble or hum produced by a bus or truck engine when it is running at a low speed. Often heard in urban or rural areas near roads or highways. Typically associated with transportation and traffic.	
Cat	A small domesticated mammal known for its distinctive meowing sound, often heard indoors or outdoors, especially during early morning or dusk.	
Children shouting	The high-pitched, excited vocalizations produced by children, often heard in playgrounds, parks, or other open spaces during recreational activities.	
Hi-hat	A percussion instrument characterized by its sharp, metallic sound, typically used in jazz or electronic music, often heard in rhythmic patterns or accents.	
helicopter	A rotorcraft with a rotating propeller, characterized by its distinctive whirring sound and rhythmic vibrations, often heard in urban or industrial areas, especially during takeoff and landing.	
Skateboard	A board with wheels, designed for riding on ramps and smooth surfaces, producing a distinctive clicking or grinding sound as the wheels interact with the surface, commonly heard in skate parks or urban environments.	
Wind_instrument_and_woodwind_instrument	A musical instrument that produces sound by the vibration of air, characterized by its unique timbre and resonance, often heard in orchestras, bands, or solo performances, especially during wind sections.	
Child_speech_and_kid_speaking	The high-pitched, melodious vocalizations produced by children, characterized by their unique intonation, rhythm, and word choice, often heard in playgrounds, schools, or family gatherings.	
Vacuum_cleaner	The loud, rhythmic sound generated by a vacuum cleaner as it moves across a surface, sucking up dirt and debris, typically heard in homes, offices, or public spaces.	
Crash cymbal	The sharp, resonant sound produced by striking two metal plates together, creating a loud, explosive noise, commonly used in drumming and percussion music, often heard in concerts, festivals, or recording studios.	
female speech	A melodic vocalization produced by women, characterized by unique patterns, pitches, and rhythms, often heard in social gatherings, conversations, or public spaces.	
running engine	A rhythmic, mechanical sound generated by a vehicle's engine, typically heard in urban or industrial environments, signaling the vehicle's movement or operation.	
chainsaw	A loud, vibrating sound produced by a chainsaw, characterized by its distinctive whirring and buzzing, often heard in construction sites, forests, or outdoor activities.	
Female speech, woman speaking	Distinctive vocalizations produced by women, characterized by variations in pitch, tone, and rhythm, often heard in social settings or conversations.	
