dataset	label	definition
Fsd50k	Conversation	(a) talk between two or more people in which thoughts, feelings, and ideas are expressed, questions are asked and answered, or news and information is exchanged
AudioSet	Conversation	(a) talk between two or more people in which thoughts, feelings, and ideas are expressed, questions are asked and answered, or news and information is exchanged
Dcase2017t4	Conversation	(a) talk between two or more people in which thoughts, feelings, and ideas are expressed, questions are asked and answered, or news and information is exchanged
AudioSet	Whir	(esp. of machines) to make a soft, continuous sound like a wheel turning very quickly
Dcase2017t4	Whir	(esp. of machines) to make a soft, continuous sound like a wheel turning very quickly
AudioSet	Mantra	(especially in Hinduism and Buddhism) a word or sound that is believed to have a special spiritual power
AudioSet	Chirp tone	(especially of a bird) to make a short high sound or sounds
AudioSet	Skidding	(especially of a vehicle) to slide along a surface so that you have no control
Dcase2017t4	Skidding	(especially of a vehicle) to slide along a surface so that you have no control
AudioSet	Whimper (dog)	(especially of an animal) to make a series of small, weak sounds expressing pain or unhappiness
Dcase2017t4	Whimper (dog)	(especially of an animal) to make a series of small, weak sounds expressing pain or unhappiness
ESC50	crackling_fire	(material that is in) the state of burning that produces flames that send out heat and light, and might produce smoke
Fsd50k	Fire	(material that is in) the state of burning that produces flames that send out heat and light, and might produce smoke
AudioSet	Fire	(material that is in) the state of burning that produces flames that send out heat and light, and might produce smoke
Dcase2017t4	Fire	(material that is in) the state of burning that produces flames that send out heat and light, and might produce smoke
Fsd50k	Tick-tock	(of a clock) to make a regular clicking sound
AudioSet	Tick-tock	(of a clock) to make a regular clicking sound
Dcase2017t4	Tick-tock	(of a clock) to make a regular clicking sound
Fsd50k	Bark	(of a dog) to make a loud, rough noise
AudioSet	Bark	(of a dog) to make a loud, rough noise
Dcase2017t4	Bark	(of a dog) to make a loud, rough noise
UrbanSound8K	dog_bark	(of a dog) to make a loud, rough noise
AudioSet	Nicker	(of a horse) give a soft breathy whinny
AudioSet	Slosh	(of a liquid) to move around noisily in the bottom of a container, or to cause liquid to move around in this way by making rough movements
Dcase2017t4	Slosh	(of a liquid) to move around noisily in the bottom of a container, or to cause liquid to move around in this way by making rough movements
Fsd50k	Run	(of people and some animals) to move along, faster than walking, by taking quick steps in which each foot is lifted before the next foot touches the ground
AudioSet	Run	(of people and some animals) to move along, faster than walking, by taking quick steps in which each foot is lifted before the next foot touches the ground
Dcase2017t4	Run	(of people and some animals) to move along, faster than walking, by taking quick steps in which each foot is lifted before the next foot touches the ground
Fsd50k	Gurgling	(of water, especially small streams) to flow quickly while making a low, pleasant sound
AudioSet	Gurgling	(of water, especially small streams) to flow quickly while making a low, pleasant sound
Dcase2017t4	Gurgling	(of water, especially small streams) to flow quickly while making a low, pleasant sound
UrbanSound8K	gun_shot	(the sound of) the shooting of a gun
