label	definition
Conversation	A natural human interaction characterized by spoken language and nonverbal cues, often involving multiple speakers and occurring in a social setting.
glass_breaking	The sharp, cracking sound produced by breaking glass, often accompanied by a tinkling or chiming sound, classified under man-made sounds.
announcement	The clear, authoritative voice that announces or informs, often with a distinct tone or cadence, categorized as human speech sounds.
thunderstorm	The loud, rumbling sound produced by lightning strikes, often accompanied by crackling or booming noises, classified under atmospheric phenomena.
Fireworks	The loud, explosive sounds produced by the ignition of gunpowder, often accompanied by bright flashes of light, classified under man-made sounds.
Keyboard_(musical)	The sounds produced by the keys of a musical keyboard, characterized by their distinct pitches and timbres, classified under musical instruments.
Other identifiable sounds	The sounds that do not fit into any of the previously defined categories, often characterized by their unique acoustic properties and context, classified under miscellaneous sounds.
Screech	A high-pitched, piercing sound often produced by metal on metal or other hard surfaces, classified under mechanical sounds.
Respiratory_sounds	The sounds produced by the respiratory system, including breathing, coughing, and sneezing, classified under human vocalizations or physiological sounds.
Traffic_noise_and_roadway_noise	The complex mixture of sounds produced by vehicles, pedestrians, and other activities on roads and highways, often characterized by their intensity, rhythm, and pitch, belonging to the category of urban sounds.
truck/engine_accelerating	The loud, rumbling sound produced by the acceleration of a truck or heavy vehicle engine, often accompanied by the sound of shifting gears or brakes, classified under transportation-related sounds.
Musical instrument	The unique sound produced by a musical instrument, often characterized by its timbre, pitch, and rhythm, belonging to the category of musical sounds.
Wild_animals	The vocalizations and sounds produced by wild animals, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of natural environmental sounds.
Train	The continuous, rhythmic sound produced by the wheels of a train moving on tracks, often accompanied by braking or whistling sounds, classified under transportation-related sounds.
Dishes, pots, and pans	The clanging and clattering sounds produced by metal dishes, pots, and pans being struck or scraped against each other, typically associated with kitchen or culinary sounds.
Cymbal	A metallic percussion instrument with a flat, circular shape, producing a sharp, resonant sound when struck.
small-medium-rotating-saw	A mechanical saw with a small to medium blade that rotates rapidly, producing a high-pitched, whirring sound.
Mobile music	A type of music that is played on mobile devices, often characterized by its portability and accessibility.
Accelerating, revving, vroom	The sound of an engine accelerating, characterized by a rising pitch and rhythmic revving noise, often associated with vehicles.
Disco	The lively, upbeat music and sounds commonly associated with disco music, characterized by a strong beat, synthesized instruments, and a wide range of frequencies.
Clapping	The sharp, percussive sound produced by the rapid movement of hands together, often used as a form of applause or to signal attention, categorized as human activities or gestures.
rock-drill	The loud, vibrating sound produced by a rock drill, typically used for breaking or excavating rock.
Bass_guitar	The deep, resonant sound produced by a bass guitar, often used as a rhythmic or harmonic foundation in music.
Female_speech_and_woman_speaking	The vocalizations produced by a female speaker, characterized by distinct pitch, tone, and rhythm, often used for communication or expressing emotions.
Vacuum cleaner	The sound produced by a vacuum cleaner, characterized by its suction and movement, often used for cleaning floors and carpets.
Traffic noise, roadway noise	The continuous, loud noise produced by vehicles and other traffic-related sounds on a roadway, often characterized by its intensity and white noise-like qualities, classified under urban sounds.
Folk music	Traditional music of a particular region or people, often characterized by its distinctive melodies, rhythms, and instruments, belonging to the category of cultural sounds.
Cricket	The continuous, rhythmic sound produced by the collision of a cricket ball and bat, often accompanied by the chirping of crickets, classified under sports-related sounds.
Air horn, truck horn	A loud, high-pitched sound produced by a horn used in vehicles, often used for warning or signaling purposes, classified under transportation-related sounds.
Aircraft engine	The continuous, rhythmic sound produced by the engines of an aircraft, characterized by its intensity and white noise-like qualities, belonging to the category of transportation-related sounds.
Plastic crinkling	The crisp, crackling sound produced by the movement or deformation of plastic materials, often associated with packaging or waste disposal, categorized as man-made sounds.
Bass_drum	A deep, resonant percussion instrument with a distinctive, booming sound, often used in rock and electronic music.
Motorcycle	The continuous, rhythmic sound produced by the engine of a motorcycle, characterized by its intensity and vibration, belonging to the category of transportation-related sounds.
car-horn	The loud, piercing sound produced by the horn of a car, typically used to signal danger or warning, and classified under transportation-related sounds.
Music for children	The melodious and rhythmic sounds produced for children, often featuring simple and repetitive patterns, and typically classified under the category of music for children.
Music	The melodious and rhythmic sounds produced for human enjoyment or cultural expression, often featuring complex patterns and harmonies, and typically classified under the category of music.
Vehicle horn, car horn, honking, toot	The loud, high-pitched sound produced by a vehicle's horn, often used to signal danger or attract attention, and typically classified under the category of transportation-related sounds.
Whistling	The high-pitched, rhythmic vocalizations produced by humans, often used for communication or signaling.
Cat	The meowing, purring, or other vocalizations produced by a cat, often characterized by their soft, melodic tones and distinctive rhythm.
Amplified speech	The amplified vocalizations produced by a microphone or speaker, often used for public address or broadcasting, belonging to the category of human-generated sounds.
car/engine_accelerating	The sound of a car engine accelerating, characterized by a rising pitch and increasing intensity, often accompanied by a rumbling or roaring noise.
Insect	The buzzing or chirping sounds produced by insects, often characterized by their high-pitched, rapid, and rhythmic nature, belonging to the category of natural environmental sounds.
Wind	The howling or whistling sounds produced by wind, often characterized by their high-pitched, sustained, and oscillating nature, belonging to the category of natural environmental sounds.
clock_tick	A short, sharp sound produced by a clock, often characterized by its regular rhythm and pitch, belonging to the category of man-made sounds.
Children shouting	The loud, high-pitched vocalizations produced by children, often characterized by their repetitive and joyful nature, categorized as human vocalizations or social sounds.
Dog barking	The loud, high-pitched vocalizations produced by dogs, often characterized by their distinct patterns and variations in pitch and intensity, classified under animal vocalizations.
Ambulance (siren)	A high-pitched, wailing sound produced by the siren of an ambulance, often used to signal its approach or to alert people of an emergency.
Light engine (high frequency)	A high-pitched, continuous sound produced by the engine of a light aircraft or helicopter, often used for communication or navigation.
Printer	A rhythmic, mechanical sound produced by the movement of paper and ink cartridges in a printer, often accompanied by a paper feed sound and a low hum.
Crying, sobbing	The emotional vocalizations produced by humans, characterized by high-pitched, sobbing sounds, often accompanied by tears and expressing sadness or grief, belonging to the category of human vocalizations or emotional expressions.
Gull, seagull	The melodious, high-pitched vocalizations produced by gulls, often characterized by distinct patterns and rhythms, belonging to the category of natural environmental sounds.
door_wood_knock	The rhythmic, percussive sound produced by the impact of a person's hand on a wooden door, often accompanied by a metallic clangor, categorized as human activities or movement sounds.
children_voices	The high-pitched, melodious vocalizations produced by children, often characterized by their playful and innocent tone, belonging to the category of human vocalizations.
Biting	The sharp, sudden sound produced by the contact of two hard objects, such as teeth or nails, biting into something, classified under mechanical sounds.
A capella	The unaccompanied vocal music performed by a group of singers, characterized by its rich harmonies and intricate vocal arrangements, belonging to the category of vocal music.
Bicycle, tricycle	A two- or three-wheeled vehicle designed for human transportation, characterized by its distinctive metallic frame and pedal-driven wheels, producing a rhythmic, steady sound when in motion.
Sheep	The soft, low-pitched bleating produced by sheep, often characterized by its rhythmic, repetitive nature, belonging to the category of animal vocalizations.
babycry	The high-pitched, emotional vocalizations produced by infants, often characterized by their rhythmic, sobbing-like quality, belonging to the category of human vocalizations.
Packing tape, duct tape	The adhesive, flexible strips of tape used for sealing boxes, securing items, or creating makeshift repairs, classified under household or utility sounds.
Exhaust brake	The loud, sharp sound produced by the brakes of a vehicle when it comes to a sudden stop or change in direction, categorized under transportation-related sounds.
Car passing by	The sound of a car moving past, characterized by its engine noise and tire screeching, belonging to the category of transportation-related sounds.
Ska	A genre of popular music characterized by its lively, upbeat rhythm and distinctive brass section sounds, often associated with Jamaican and British culture.
Country	A genre of popular music originating from the Southern United States, characterized by its acoustic instruments, simple song structures, and storytelling lyrics, often associated with rural or cowboy culture.
Children playing	The joyful and energetic sounds produced by children playing games, toys, or instruments, often characterized by laughter, shouts, and clapping.
Car horn	The loud, sharp sound produced by a car horn, typically used to signal danger, warning, or attention, classified under transportation-related sounds.
Background music	The soft, continuous sound produced by music playing in the background, often used to set a mood or atmosphere, categorized under ambient sounds.
Chicken_and_rooster	The distinct vocalizations produced by chickens and roosters, characterized by their rhythmic, clucking, and crowing sounds, belonging to the category of animal vocalizations.
Battle cry	The loud, intense vocalizations produced by humans during battles or conflicts, often used to signal aggression or rally troops, classified under human vocalizations or military sounds.
Fire	The crackling, hissing, and popping sounds produced by burning materials, often accompanied by visual flames and heat, categorized under natural environmental sounds or fire-related sounds.
Chewing, mastication	The rhythmic sounds produced by the movement of teeth and tongue while eating, characterized by distinct patterns and pitches, belonging to the category of human activities or food-related sounds.
Crash_cymbal	The sharp, metallic sound produced by the collision of two cymbals, often used in music and percussion, classified under musical instruments or percussion sounds.
Race car, auto racing	The loud, high-pitched sounds produced by the engine and tires of a race car during competition, characterized by their intensity and speed, classified under transportation-related sounds.
children shouting	The high-pitched, rhythmic vocalizations produced by children, often characterized by their playful and energetic nature, belonging to the category of human vocalizations.
Classical music	The complex, harmonious melodies and rhythms produced by orchestras or solo musicians, often characterized by their use of traditional instruments and forms, classified under the category of music.
Cattle, bovinae	The low-frequency, mooing sounds produced by cows, often characterized by their distinctive timbre and rhythm, belonging to the category of animal sounds.
Sliding door	A metallic sound produced by the movement of a sliding door, characterized by a smooth, continuous glide and occasional clicks or scrapes.
Trumpet	A bright, piercing sound produced by blowing air through a cup-shaped mouthpiece, often associated with fanfares, fanfare-like music, or trumpet solos.
Electric guitar	A sharp, twangy sound produced by the vibration of strings when an electric guitar is played, characterized by a rich, resonant tone and occasional feedback or distortion.
Subway, metro, underground	The continuous, rhythmic sound produced by trains moving through underground tunnels, characterized by its intensity and reverberation, belonging to the category of transportation-related sounds.
Skateboard	The sharp, high-pitched sound produced by the wheels of a skateboard grinding against a surface, often accompanied by the occasional pop or crackle sound, categorized as human activities or movement sounds.
Liquid	The sound produced by the movement of liquid, characterized by its fluidity and flow, often associated with water or other liquids, belonging to the category of natural environmental sounds.
Hose pump	A mechanical device used to pump water through a hose, characterized by a rhythmic, pulsating sound with a moderate pitch and intensity.
Sigh	A deep, audible exhalation of air through the nose or mouth, often accompanied by a slight vibration of the vocal cords, expressing a sense of disappointment, frustration, or longing.
Heavy engine (low frequency)	A large, powerful engine with a low frequency sound, often characterized by a deep rumble or growl, commonly found in heavy machinery, vehicles, or aircraft.
metro approaching	The sound of a train approaching a station, characterized by its rhythmic, metallic clanging and screeching noises, belonging to the category of transportation-related sounds.
Hands	The sound of human hands clapping, characterized by its sharp, percussive rhythm and varying intensity, categorized as human activities or movement sounds.
Snare drum	The sharp, cracking sound produced by a snare drum, often used in percussion music, characterized by its distinct pitch and rhythm, belonging to the category of musical instruments.
Keys_jangling	The metallic clinking sound produced by keys as they are turned or moved, often associated with doors or locks.
Electric toothbrush	The vibrating, humming sound produced by an electric toothbrush, characterized by its intensity and rhythm, used for oral hygiene.
Rain	The continuous, pattering sound of raindrops hitting various surfaces, often accompanied by splashing or gurgling noises, classified under natural environmental sounds.
motorbike	A two-wheeled vehicle powered by an internal combustion engine, characterized by its distinctive revving sound and vibrations.
Bathtub_(filling_or_washing)	A large tub used for bathing, typically filled with water and featuring a faucet for filling or draining.
Train whistle	The loud, penetrating sound produced by the steam or air whistle of a train, typically signaling its approach or departure.
birds_singing	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of natural environmental sounds.
sneezing	The sudden, sharp sound produced by the forceful expulsion of air from the nose, classified under human respiratory sounds.
Television	The continuous, electronic sound produced by a television set, often characterized by its background noise and occasional audio effects, classified under electronic devices.
Inside, small room	The sounds produced within a small, enclosed space, often characterized by reverberation and echo.
Police car (siren)	The loud, oscillating wail produced by a police car siren, often used to signal its presence or alert.
Bluegrass	The distinctive, lively, and acoustic style of music originating from the Appalachian region of the United States, characterized by its use of instruments such as the banjo, fiddle, and guitar, and its emphasis on improvisation and storytelling.
Livestock, farm animals, working animals	The sounds produced by domesticated animals used for agriculture, transportation, or labor, often characterized by their distinct vocalizations and movement sounds.
Bird flight, flapping wings	The rhythmic, flapping motion of bird wings during flight, often accompanied by the sound of air rushing past them.
Sink_(filling_or_washing)	The sound of water filling or washing a sink, characterized by its rhythmic splashing and gurgling, often accompanied by the sound of water flowing in and out of the sink.
Glass	The sound of breaking or shattering glass, characterized by its sharp, crackling, and tinkling noises, often accompanied by the sound of shards rattling or clinking together.
Busy signal	The sound of a busy signal, characterized by its high-pitched, pulsating, and repetitive tones, often accompanied by the sound of a computer or phone beeping or ringing.
Jackhammer	A loud, percussive sound produced by a construction tool used for breaking concrete or other hard materials, classified under construction-related sounds.
Microwave oven	The beeping sound produced by a microwave oven when it is in use, often accompanied by a humming noise, classified under kitchen appliances.
laughing	The light, high-pitched laughter often characterized by short, repeated bursts of sound, falling under human vocalizations or emotional expressions.
large_vehicle	The loud, rumbling sound produced by a large vehicle, such as a truck or bus, often accompanied by vibrations and engine noise, classified under transportation-related sounds.
air_conditioner	The continuous, rhythmic sound produced by an air conditioner, characterized by a low hum and occasional clicking or whirring noises, categorized under household appliances.
Male_speech_and_man_speaking	The vocalizations produced by a male human, often characterized by distinct pitch, tone, and rhythm, belonging to the category of human speech sounds.
Toothbrush	The sound produced by the bristles of a toothbrush as they are moved against teeth and gums, often characterized by a soft, brushing sound, categorized as household sounds.
Pump (liquid)	The continuous, rhythmic sound produced by a pump as it moves liquid through a pipe or container, often characterized by a steady, pulsing sound, classified under machinery-related sounds.
Car_passing_by	The sound of a car engine and tires rolling on a road, often characterized by its rhythm and intensity, belonging to the category of transportation-related sounds.
Blender	The whirring sound produced by a blender while blending ingredients, often characterized by its high-pitched, rhythmic noise.
Speech	The vocalizations produced by humans for communication, characterized by their distinct patterns, pitches, and rhythms.
Domestic sounds, home sounds	The various sounds produced within a home environment, including footsteps, appliances, and human activities, often characterized by their familiarity and repetition.
glass jingling	The metallic, tinkling sound produced by the collision of glass surfaces, often used as a signal or indicator.
Animal	A class of audio events and sounds produced by living organisms, including vocalizations, movements, and other behaviors.
other-unknown-powered-saw	An audio event and sound produced by an unknown, powered saw, characterized by its high-pitched, whirring noise and rapid, rhythmic vibrations.
engine_idling	The steady, low-pitched hum produced by an engine when it is running at a low speed, often associated with idling or warming up.
Boat, Water vehicle	A watercraft designed for transportation or recreation on water, characterized by its buoyancy, hull, and propulsion system, often producing distinctive sounds such as splashing, lapping, or creaking.
Frying	The sizzling sound produced by food cooking in a pan or pot, characterized by rapid, popping noises, often associated with kitchen or culinary sounds.
Bee, wasp, etc.	The buzzing or humming sound produced by bees, wasps, and other flying insects, characterized by their rapid, rhythmic wing movements, often associated with natural environmental sounds.
Crowd	A large group of people making collective vocalizations, often characterized by overlapping voices and a lack of individual distinctiveness, belonging to the category of social sounds.
Breaking	The sharp, cracking sound produced by the impact of a hard object on a surface, often accompanied by a short, high-pitched echo, classified under mechanical sounds.
Silence	The absence of audible sound, characterized by a complete lack of acoustic activity, belonging to the category of environmental sounds.
Air brake	The sound produced by the braking system of a vehicle, characterized by a sharp, high-pitched screeching noise, often accompanied by a hissing or whistling sound, belonging to the category of transportation-related sounds.
Motor_vehicle_(road)	The continuous, rhythmic sounds produced by the engine and transmission of a vehicle moving on a road, characterized by their intensity and white noise-like qualities, belonging to the category of transportation-related sounds.
truck/compressor	The sound produced by the compression of air in a truck's engine, characterized by a high-pitched whistle or hiss, often accompanied by a rumbling or clattering noise, belonging to the category of transportation-related sounds.
Large rotating saw	A large, rotating saw with a blade used for cutting through wood or other materials, producing a loud, rhythmic sound with a distinct pitch and vibration.
Chainsaw	The loud, buzzing sound produced by a chainsaw with a rotating blade, used for cutting through wood or other materials, characterized by its rhythmic pattern and high-pitched vibration.
Drip	A continuous, rhythmic sound produced by the release of liquid from a source, often characterized by its steady, dripping pattern, belonging to the category of natural environmental sounds.
Soul music	A genre of music originating from African American communities in the United States, characterized by its emotional intensity, expressive vocals, and distinctive rhythmic patterns, classified under music-related sounds.
Outside, rural or natural	The ambient sounds of nature, such as birdsong, rustling leaves, and flowing water, often characterized by their softness and sparsity.
Church_bell	The sonorous tolling of a church bell, typically ringing every hour or on special occasions, classified under religious or cultural sounds.
Cutlery_and_silverware	The clinking and clattering sounds produced by cutlery and silverware while being used for eating or serving food, categorized as kitchen or culinary sounds.
chirping_birds	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of natural environmental sounds.
Civil defense siren	The loud, continuous sound produced by a siren used for warning or alerting purposes, classified under emergency sounds.
Human_group_actions	The rhythmic sounds made by the impact of feet on a surface while walking or running in a group, varying in speed, intensity, and pattern, categorized as human activities or movement sounds.
Rhythm and blues	A genre of music characterized by its distinctive rhythm, bluesy vocals, and improvisation, often associated with African American culture.
Electric_guitar	A stringed musical instrument played with an electric pickup, producing a rich, resonant sound often used in rock, blues, and jazz music.
Non-machinery impact	A type of sound produced by the impact of an object on a surface that is not typically associated with machinery, such as a car hitting a pothole or a bird striking a window.
Car	A mechanical vehicle designed for transportation, characterized by its engine noise and metallic scraping sounds.
wind_blowing	The continuous, whistling sound produced by wind blowing through objects, often characterized by its intensity and white noise-like qualities, belonging to the category of natural environmental sounds.
Child_speech_and_kid_speaking	The high-pitched, melodious vocalizations produced by children, often characterized by their distinct patterns, pitches, and rhythms, falling under the category of human vocalizations or emotional expressions.
Slam	A loud, sharp sound produced by a heavy object hitting a hard surface, often accompanied by a reverberation effect, classified under impact sounds.
Bicycle_bell	A metallic ringing sound produced by a bicycle bell, typically used to signal the rider's presence or to warn others of their approach, categorized under transportation-related sounds.
Effects unit	An electronic device used to generate and manipulate sound effects, often used in music production or sound design, classified under audio processing equipment.
footsteps	The rhythmic sounds made by the impact of feet on a surface while walking or running, varying in speed, intensity, and pattern, categorized as human activities or movement sounds.
Boiling	The sizzling sound produced by food cooking, characterized by rapid, popping noises, typically associated with kitchen or culinary sounds.
Harmonica	The melodic sound produced by blowing air through a metal tube with slits, creating a unique, resonant tone, classified under musical instruments.
Computer keyboard	A mechanical device used for inputting text and numbers into a computer, characterized by the distinct clicking sound produced by each key press.
Keys jangling	The metallic clinking sound produced by keys as they are moved or manipulated, often associated with doors or drawers.
Bell	The ringing sound produced by a metal object being struck or vibrated, often used to signal time or other events.
Gear	The grinding or whirring sound produced by the movement of teeth or other mechanical components, often associated with machinery or vehicles.
Frying_(food)	The sizzling sound produced by food cooking, characterized by rapid, popping noises, typically associated with kitchen or culinary sounds.
sea_waves	The continuous, rhythmic sounds produced by the movement of water in the ocean, characterized by their pitch, intensity, and pattern, belonging to the category of natural environmental sounds.
Large crowd	The collective sounds produced by a large group of people, characterized by their volume, rhythm, and variety, often associated with social or cultural events.
Whoosh, swoosh, swish	A continuous, rhythmic sound produced by the movement of air or fluid, often characterized by a soft, hissing quality, belonging to the category of natural environmental sounds.
Drawer open or close	The sound of a drawer opening or closing, characterized by a sharp, metallic clang or a soft, creaking noise, categorized as household sounds.
Camera	The sound produced by a camera, often characterized by a clicking or shuttering noise, belonging to the category of electronic devices and appliances.
Water_tap_and_faucet	The sound of water flowing from a tap or faucet, characterized by its steady, rhythmic pattern and low volume, classified under household appliances.
Telephone	The sound of a telephone ringing or a voice on the phone, characterized by its high-pitched, metallic quality and often associated with communication sounds.
Medium engine	The sound of a medium-sized engine, characterized by its steady, rumbling pattern and often associated with transportation sounds.
bus/engine_idling	The steady, low-pitched hum produced by the engine of a bus, often accompanied by vibrations and rattles, classified under transportation-related sounds.
Telephone bell ringing	The sharp, metallic sound produced by the ringing of a telephone bell, often accompanied by a buzzing or clicking noise, categorized under communication-related sounds.
object impact	The sharp, sudden sound produced by the collision of two objects, often accompanied by a cracking or crunching noise, classified under impact-related sounds.
Bleat	The high-pitched, repetitive vocalizations produced by sheep, often used for communication or warning of predators, classified under animal vocalizations.
Motor vehicle (road)	The continuous, rhythmic sounds produced by the movement of vehicles on paved roads, characterized by their intensity and white noise-like qualities, classified under transportation-related sounds.
motorcycle/wheel_rolling	The distinctive, rhythmic sounds produced by the rotation of motorcycle wheels on pavement, often accompanied by the revving of the engine, classified under transportation-related sounds.
engine	A mechanical device that produces a continuous, rhythmic sound, often characterized by its pitch and intensity, belonging to the category of man-made sounds.
Bass guitar	A stringed musical instrument that produces a deep, resonant sound, often characterized by its low frequency and rich tone, classified under musical instruments.
Raindrop	The individual droplets of water that fall from the sky, often producing a soft, pattering sound when they hit surfaces, categorized under natural environmental sounds.
Artillery fire	The loud, explosive sounds produced by artillery shells, often characterized by their sharp, crackling noises and reverberating echoes, classified under military-related sounds.
Chink_and_clink	The metallic sound produced by the collision of two hard surfaces, often characterized by a sharp, short duration and a high-pitched frequency, belonging to the category of man-made sounds.
Bird_vocalization_and_bird_call_and_bird_song	The complex vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of natural environmental sounds.
helicopter	The continuous, whirring sound produced by the rotors of a helicopter, often characterized by its intensity and white noise-like qualities, classified under transportation-related sounds.
object falling	The sound of an object falling, characterized by its impact and resonance, often accompanied by a sharp, cracking noise.
Wildfire	The continuous, crackling sound of burning vegetation and debris, often accompanied by hissing and popping noises, classified under natural environmental sounds.
Chop	The sharp, crackling sound produced by cutting through food or other materials, often accompanied by a hissing or sizzling sound, categorized as kitchen or culinary sounds.
adults_talking	The conversational speech produced by adults, characterized by varying pitch, tone, and rhythm, often involving complex language and social cues, belonging to the category of human communication sounds.
Chime	The short, ringing sound produced by a set of metal bars struck together, often used as a signal or notification, classified under man-made sounds.
Adult male speech	The vocalizations produced by adult males, characterized by distinct pitch, tone, and rhythm, often involving complex language and social cues, belonging to the category of human communication sounds.
Child singing	The melodious vocalizations produced by a child, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of human vocalizations.
Domestic animals, pets	The sounds produced by common household animals, such as dogs, cats, and birds, often characterized by their unique vocalizations and behaviors.
Engine starting	The sound produced by the ignition and combustion of fuel in an engine, typically characterized by a loud, rhythmic noise.
Belly laugh	The light, high-pitched laughter often characterized by short, repeated bursts of sound, typically associated with humor and joy.
knocking on door	A rhythmic, sharp sound produced by someone tapping on a door, often accompanied by a creaking or opening sound.
person-or-small-group-shouting	A loud, high-pitched vocalization produced by one or more people, often characterized by distinct patterns and rhythms, belonging to the category of human communication sounds.
drawer	The sound produced by a drawer opening or closing, characterized by a soft, metallic clinking or sliding sound, categorized as household sounds.
Stream	A continuous flow of sound, often characterized by its rhythmic patterns and timbre, belonging to the category of natural environmental sounds.
Middle Eastern music	A diverse range of musical styles and genres originating from the Middle East, characterized by their unique melodies, rhythms, and instruments, falling under the category of cultural sounds.
